ts_et,equity,cash,daily_pnl_pct
2026-08-31T00:23:29.165096-04:00,100000.0,100000,0.000
2026-08-31T00:28:26.502514-04:00,100000.0,100000,0.000
2026-08-31T00:47:10.520535-04:00,100000.0,100000,0.000
2026-08-31T01:00:22.652187-04:00,100000.0,100000,0.000
2026-08-31T01:06:58.210849-04:00,100000.0,100000,0.000
2026-08-31T10:48:27.391971-04:00,100000.0,100000,0.000
2026-08-31T15:05:35.685715-04:00,100001.6,100491.6,0.002
